# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4 4 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.201381412966473e+00 -1.565623787638318e+00 7.643768340551821e-01
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8 8 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.132388214643353e+00 -1.491589107439707e+00 1.152583819366544e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16 16 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.115326187918354e+00 -1.453064852813476e+00 1.497069162412351e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32 32 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.111069366918742e+00 -1.433658466146246e+00 1.849316288796303e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
64 64 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.110005667037697e+00 -1.423938389833014e+00 2.187676091820725e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
128 128 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109739773151550e+00 -1.419076272084993e+00 2.537277954632972e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
256 256 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109673301615161e+00 -1.416644954196845e+00 2.880072064716559e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
512 512 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109656683851893e+00 -1.415429262904937e+00 3.222861613734503e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109652529418625e+00 -1.414821413216447e+00 3.565932898016098e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
2048 2048 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651490810780e+00 -1.414517487867329e+00 3.908721022148256e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651231158850e+00 -1.414365525131907e+00 4.251579797887766e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8192 8192 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651166245865e+00 -1.414289543744024e+00 4.594367803679566e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651150017626e+00 -1.414251553039485e+00 4.937173398542084e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651145960565e+00 -1.414232557737447e+00 5.279961822476303e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
65536 65536 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651144946290e+00 -1.414223060151575e+00 5.622752345368347e+00
# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
inf inf 1.000000000000000e+00 1.000000000000000e+00 2.269185314213022e+00 4.406867935097715e-01 -2.109651144608207e+00 -1.414213562373094e+00 2.171220918091487e+298
